
2024/11/10 (15:44:35) | ===> btop++ v.1.4.0
2024/11/10 (15:44:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/11 (01:54:19) | ===> btop++ v.1.4.0
2024/11/11 (01:54:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/11 (01:54:22) | ===> btop++ v.1.4.0
2024/11/11 (01:54:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/21 (16:10:37) | ===> btop++ v.1.4.0
2024/11/21 (16:10:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/25 (12:50:38) | ===> btop++ v.1.4.0
2024/11/25 (12:50:38) | WARNING: Failed to set locale UTF-8 continuing anyway.
